iso3,location,region
AFG,Afghanistan,South Asia
ALB,Albania,"Central Europe, Eastern Europe, and Central Asia"
DZA,Algeria,North Africa and Middle East
ASM,American Samoa,"Southeast Asia, East Asia, and Oceania"
AND,Andorra,High-income
AGO,Angola,Sub-Saharan Africa
ATG,Antigua and Barbuda,Latin America and Caribbean
ARG,Argentina,High-income
ARM,Armenia,"Central Europe, Eastern Europe, and Central Asia"
AUS,Australia,High-income
AUT,Austria,High-income
AZE,Azerbaijan,"Central Europe, Eastern Europe, and Central Asia"
BHR,Bahrain,North Africa and Middle East
BGD,Bangladesh,South Asia
BRB,Barbados,Latin America and Caribbean
BLR,Belarus,"Central Europe, Eastern Europe, and Central Asia"
BEL,Belgium,High-income
BLZ,Belize,Latin America and Caribbean
BEN,Benin,Sub-Saharan Africa
BMU,Bermuda,Latin America and Caribbean
BTN,Bhutan,South Asia
BOL,Bolivia,Latin America and Caribbean
BIH,Bosnia and Herzegovina,"Central Europe, Eastern Europe, and Central Asia"
BWA,Botswana,Sub-Saharan Africa
BRA,Brazil,Latin America and Caribbean
BRN,Brunei Darussalam,High-income
BGR,Bulgaria,"Central Europe, Eastern Europe, and Central Asia"
BFA,Burkina Faso,Sub-Saharan Africa
BDI,Burundi,Sub-Saharan Africa
KHM,Cambodia,"Southeast Asia, East Asia, and Oceania"
CMR,Cameroon,Sub-Saharan Africa
CAN,Canada,High-income
CPV,Cabo Verde,Sub-Saharan Africa
CAF,Central African Republic,Sub-Saharan Africa
TCD,Chad,Sub-Saharan Africa
CHL,Chile,High-income
CHN,China,"Southeast Asia, East Asia, and Oceania"
COL,Colombia,Latin America and Caribbean
COM,Comoros,Sub-Saharan Africa
COG,Congo,Sub-Saharan Africa
CRI,Costa Rica,Latin America and Caribbean
CIV,Ivory Coast,Sub-Saharan Africa
HRV,Croatia,"Central Europe, Eastern Europe, and Central Asia"
CUB,Cuba,Latin America and Caribbean
CYP,Cyprus,High-income
CZE,Czechia,"Central Europe, Eastern Europe, and Central Asia"
COD,Democratic Republic of the Congo,Sub-Saharan Africa
DNK,Denmark,High-income
DJI,Djibouti,Sub-Saharan Africa
DMA,Dominica,Latin America and Caribbean
DOM,Dominican Republic,Latin America and Caribbean
ECU,Ecuador,Latin America and Caribbean
EGY,Egypt,North Africa and Middle East
SLV,El Salvador,Latin America and Caribbean
GNQ,Equatorial Guinea,Sub-Saharan Africa
ERI,Eritrea,Sub-Saharan Africa
EST,Estonia,"Central Europe, Eastern Europe, and Central Asia"
ETH,Ethiopia,Sub-Saharan Africa
FSM,Micronesia (Federated States of),"Southeast Asia, East Asia, and Oceania"
FJI,Fiji,"Southeast Asia, East Asia, and Oceania"
FIN,Finland,High-income
FRA,France,High-income
GAB,Gabon,Sub-Saharan Africa
GEO,Georgia,"Central Europe, Eastern Europe, and Central Asia"
DEU,Germany,High-income
GHA,Ghana,Sub-Saharan Africa
GRC,Greece,High-income
GRL,Greenland,High-income
GRD,Grenada,Latin America and Caribbean
GUM,Guam,"Southeast Asia, East Asia, and Oceania"
GTM,Guatemala,Latin America and Caribbean
GIN,Guinea,Sub-Saharan Africa
GNB,Guinea-Bissau,Sub-Saharan Africa
GUY,Guyana,Latin America and Caribbean
HTI,Haiti,Latin America and Caribbean
HND,Honduras,Latin America and Caribbean
HUN,Hungary,"Central Europe, Eastern Europe, and Central Asia"
ISL,Iceland,High-income
IND,India,South Asia
IDN,Indonesia,"Southeast Asia, East Asia, and Oceania"
IRN,Iran (Islamic Republic of),North Africa and Middle East
IRQ,Iraq,North Africa and Middle East
IRL,Ireland,High-income
ISR,Israel,High-income
ITA,Italy,High-income
JAM,Jamaica,Latin America and Caribbean
JPN,Japan,High-income
JOR,Jordan,North Africa and Middle East
KAZ,Kazakhstan,"Central Europe, Eastern Europe, and Central Asia"
KEN,Kenya,Sub-Saharan Africa
KIR,Kiribati,"Southeast Asia, East Asia, and Oceania"
KWT,Kuwait,North Africa and Middle East
KGZ,Kyrgyz Republic,"Central Europe, Eastern Europe, and Central Asia"
LAO,Lao People's Democratic Republic,"Southeast Asia, East Asia, and Oceania"
LVA,Latvia,"Central Europe, Eastern Europe, and Central Asia"
LBN,Lebanon,North Africa and Middle East
LSO,Lesotho,Sub-Saharan Africa
LBR,Liberia,Sub-Saharan Africa
LBY,Libya,North Africa and Middle East
LTU,Lithuania,"Central Europe, Eastern Europe, and Central Asia"
LUX,Luxembourg,High-income
MKD,North Macedonia,"Central Europe, Eastern Europe, and Central Asia"
MDG,Madagascar,Sub-Saharan Africa
MWI,Malawi,Sub-Saharan Africa
MYS,Malaysia,"Southeast Asia, East Asia, and Oceania"
MDV,Maldives,"Southeast Asia, East Asia, and Oceania"
MLI,Mali,Sub-Saharan Africa
MLT,Malta,High-income
MHL,Marshall Islands,"Southeast Asia, East Asia, and Oceania"
MRT,Mauritania,Sub-Saharan Africa
MUS,Mauritius,Sub-Saharan Africa
MEX,Mexico,Latin America and Caribbean
MDA,Republic of Moldova,"Central Europe, Eastern Europe, and Central Asia"
MNG,Mongolia,"Central Europe, Eastern Europe, and Central Asia"
MNE,Montenegro,"Central Europe, Eastern Europe, and Central Asia"
MAR,Morocco,North Africa and Middle East
MOZ,Mozambique,Sub-Saharan Africa
MMR,Myanmar,"Southeast Asia, East Asia, and Oceania"
NAM,Namibia,Sub-Saharan Africa
NPL,Nepal,South Asia
NLD,Netherlands,High-income
NZL,New Zealand,High-income
NIC,Nicaragua,Latin America and Caribbean
NER,Niger,Sub-Saharan Africa
NGA,Nigeria,Sub-Saharan Africa
PRK,"Korea, Dem. People’s Rep.","Southeast Asia, East Asia, and Oceania"
MNP,Northern Mariana Islands,"Southeast Asia, East Asia, and Oceania"
NOR,Norway,High-income
OMN,Oman,North Africa and Middle East
PAK,Pakistan,South Asia
PSE,West Bank and Gaza,North Africa and Middle East
PAN,Panama,Latin America and Caribbean
PNG,Papua New Guinea,"Southeast Asia, East Asia, and Oceania"
PRY,Paraguay,Latin America and Caribbean
PER,Peru,Latin America and Caribbean
PHL,Philippines,"Southeast Asia, East Asia, and Oceania"
POL,Poland,"Central Europe, Eastern Europe, and Central Asia"
PRT,Portugal,High-income
PRI,Puerto Rico,Latin America and Caribbean
QAT,Qatar,North Africa and Middle East
ROU,Romania,"Central Europe, Eastern Europe, and Central Asia"
RUS,Russian Federation,"Central Europe, Eastern Europe, and Central Asia"
RWA,Rwanda,Sub-Saharan Africa
LCA,St. Lucia,Latin America and Caribbean
VCT,St. Vincent and the Grenadines,Latin America and Caribbean
WSM,Samoa,"Southeast Asia, East Asia, and Oceania"
STP,Sao Tome and Principe,Sub-Saharan Africa
SAU,Saudi Arabia,North Africa and Middle East
SEN,Senegal,Sub-Saharan Africa
SRB,Serbia,"Central Europe, Eastern Europe, and Central Asia"
SYC,Seychelles,Sub-Saharan Africa
SLE,Sierra Leone,Sub-Saharan Africa
SGP,Singapore,High-income
SVK,Slovakia,"Central Europe, Eastern Europe, and Central Asia"
SVN,Slovenia,"Central Europe, Eastern Europe, and Central Asia"
SLB,Solomon Islands,"Southeast Asia, East Asia, and Oceania"
SOM,Somalia,Sub-Saharan Africa
ZAF,South Africa,Sub-Saharan Africa
KOR,Republic of Korea,High-income
SDS,South Sudan,Sub-Saharan Africa
ESP,Spain,High-income
LKA,Sri Lanka,"Southeast Asia, East Asia, and Oceania"
SDN,Sudan,North Africa and Middle East
SUR,Suriname,Latin America and Caribbean
SWZ,Eswatini,Sub-Saharan Africa
SWE,Sweden,High-income
CHE,Switzerland,High-income
SYR,Syrian Arab Republic,North Africa and Middle East
TJK,Tajikistan,"Central Europe, Eastern Europe, and Central Asia"
TZA,Tanzania,Sub-Saharan Africa
THA,Thailand,"Southeast Asia, East Asia, and Oceania"
BHS,Bahamas,Latin America and Caribbean
GMB,Gambia,Sub-Saharan Africa
TLS,Timor-Leste,"Southeast Asia, East Asia, and Oceania"
TGO,Togo,Sub-Saharan Africa
TON,Tonga,"Southeast Asia, East Asia, and Oceania"
TTO,Trinidad and Tobago,Latin America and Caribbean
TUN,Tunisia,North Africa and Middle East
TUR,Turkey,North Africa and Middle East
TKM,Turkmenistan,"Central Europe, Eastern Europe, and Central Asia"
UGA,Uganda,Sub-Saharan Africa
UKR,Ukraine,"Central Europe, Eastern Europe, and Central Asia"
ARE,United Arab Emirates,North Africa and Middle East
GBR,United Kingdom,High-income
USA,United States,High-income
URY,Uruguay,High-income
UZB,Uzbekistan,"Central Europe, Eastern Europe, and Central Asia"
VUT,Vanuatu,"Southeast Asia, East Asia, and Oceania"
VEN,Venezuela (Bolivarian Republic of),Latin America and Caribbean
VNM,Viet Nam,"Southeast Asia, East Asia, and Oceania"
VIR,Virgin Islands (U.S.),Latin America and Caribbean
YEM,Yemen,North Africa and Middle East
ZMB,Zambia,Sub-Saharan Africa
ZWE,Zimbabwe,Sub-Saharan Africa
LCA,Saint Lucia,Latin America and Caribbean
PRK,Democratic People's Republic of Korea,"Southeast Asia, East Asia, and Oceania"
VCT,Saint Vincent and the Grenadines,Latin America and Caribbean
KGZ,Kyrgyzstan,"Central Europe, Eastern Europe, and Central Asia"
PSE,Palestine,North Africa and Middle East
TWN,Taiwan (Province of China),"Southeast Asia, East Asia, and Oceania"
